textDisplay,likeCount,remove_user,cleaning,tokenized_Content
Bagusan iklan daripada gembok biru s2 🗿,2.0,Bagusan iklan daripada gembok biru s2 🗿,Bagusan iklan daripada gembok biru s ,"['""Bagusan""', '""iklan""', '""daripada""', '""gembok""', '""biru""', '""s2""', '""🗿""']"
NANI!?!???,0.0,NANI!?!???,NANI ,"['""NANI""', '""!""', '""?""', '""!""', '""?""', '""?""', '""?""']"
"Bjirr udah sejuta views, diupload pas tanggal lahir gua 3 minggu kemudian 30 november udah 1,1jt",0.0,"Bjirr udah sejuta views, diupload pas tanggal lahir gua 3 minggu kemudian 30 november udah 1,1jt",Bjirr udah sejuta views diupload pas tanggal lahir gua minggu kemudian november udah jt,"['""Bjirr""', '""udah""', '""sejuta""', '""views""', '"",""', '""diupload""', '""pas""', '""tanggal""', '""lahir""', '""gua""', '""3""', '""minggu""', '""kemudian""', '""30""', '""november""', '""udah""', '""1,1jt""']"
bagus bgtt 😭😭😵🙏🙏,0.0,bagus bgtt 😭😭😵🙏🙏,bagus bgtt ,"['""bagus""', '""bgtt""', '""😭😭😵🙏🙏""']"
WHO LET BNI COOK???,0.0,WHO LET BNI COOK???,WHO LET BNI COOK ,"['""WHO""', '""LET""', '""BNI""', '""COOK""', '""?""', '""?""', '""?""']"
LUCU BANGETTT,0.0,LUCU BANGETTT,LUCU BANGETTT,"['""LUCU""', '""BANGETTT""']"
"im sold bro, give me all your service BNI, take my wallet with you",0.0,"im sold bro, give me all your service BNI, take my wallet with you",im sold bro give me all your service BNI take my wallet with you,"['""im""', '""sold""', '""bro""', '"",""', '""give""', '""me""', '""all""', '""your""', '""service""', '""BNI""', '"",""', '""take""', '""my""', '""wallet""', '""with""', '""you""']"
"interesting aja di HP Opanya notif panggilnya Opa, di subtitle sebutnya Kakek :3",0.0,"interesting aja di HP Opanya notif panggilnya Opa, di subtitle sebutnya Kakek :3",interesting aja di HP Opanya notif panggilnya Opa di subtitle sebutnya Kakek ,"['""interesting""', '""aja""', '""di""', '""HP""', '""Opanya""', '""notif""', '""panggilnya""', '""Opa""', '"",""', '""di""', '""subtitle""', '""sebutnya""', '""Kakek""', '"":3""']"
Semuanya indo kecuali dubnya.... aneh... wkkwkwkw.,0.0,Semuanya indo kecuali dubnya.... aneh... wkkwkwkw.,Semuanya indo kecuali dubnya aneh wkkwkwkw ,"['""Semuanya""', '""indo""', '""kecuali""', '""dubnya""', '""....""', '""aneh""', '""...""', '""wkkwkwkw""', '"".""']"
🗿,0.0,🗿, ,"['""🗿""']"
"aku tau ini cuman iklan, tapi ini lebih lucu dari keseluruhan hidup ku",0.0,"aku tau ini cuman iklan, tapi ini lebih lucu dari keseluruhan hidup ku",aku tau ini cuman iklan tapi ini lebih lucu dari keseluruhan hidup ku,"['""aku""', '""tau""', '""ini""', '""cuman""', '""iklan""', '"",""', '""tapi""', '""ini""', '""lebih""', '""lucu""', '""dari""', '""keseluruhan""', '""hidup""', '""ku""']"
Kenapa pake dub bahasa jepang ?,2.0,Kenapa pake dub bahasa jepang ?,Kenapa pake dub bahasa jepang ,"['""Kenapa""', '""pake""', '""dub""', '""bahasa""', '""jepang""', '""?""']"
PEAK iklan,0.0,PEAK iklan,PEAK iklan,"['""PEAK""', '""iklan""']"
Animator blue lock ketar ketir melihat iklan ini 😂,2.0,Animator blue lock ketar ketir melihat iklan ini 😂,Animator blue lock ketar ketir melihat iklan ini ,"['""Animator""', '""blue""', '""lock""', '""ketar""', '""ketir""', '""melihat""', '""iklan""', '""ini""', '""😂""']"
sigma banget BNI,0.0,sigma banget BNI,sigma banget BNI,"['""sigma""', '""banget""', '""BNI""']"
Kita mendapatkan Anime BNI sebelum GTA 6 🔥🔥🗣🗣,2.0,Kita mendapatkan Anime BNI sebelum GTA 6 🔥🔥🗣🗣,Kita mendapatkan Anime BNI sebelum GTA ,"['""Kita""', '""mendapatkan""', '""Anime""', '""BNI""', '""sebelum""', '""GTA""', '""6""', '""🔥🔥🗣🗣""']"
lucu bang,2.0,lucu bang,lucu bang,"['""lucu""', '""bang""']"
Ini genre nya slice of life,2.0,Ini genre nya slice of life,Ini genre nya slice of life,"['""Ini""', '""genre""', '""nya""', '""slice""', '""of""', '""life""']"
